Points
[[39.662598, 2.580131], [39.658796, 2.575263], [39.657645, 2.571466], [39.65527, 2.565874], [39.656019, 2.560218], [39.652607, 2.555273], [39.649339, 2.551772], [39.652671, 2.551585], [39.655727, 2.551862], [39.657981, 2.559454], [39.659972, 2.561467], [39.662962, 2.55961], [39.665198, 2.566161], [39.665834, 2.567792], [39.668595, 2.571771]]
[[39.430714, 3.019666], [39.4384, 3.00193], [39.449848, 2.96582], [39.461838, 2.93679], [39.483387, 2.907341], [39.486481, 2.887199], [39.502075, 2.865706], [39.521034, 2.825076], [39.529228, 2.806775], [39.540874, 2.774653], [39.547318, 2.756469], [39.558487, 2.769147], [39.569389, 2.75112], [39.568604, 2.710009], [39.571522, 2.664491]]
[[39.78727, 2.79692], [39.78029, 2.78424], [39.77441, 2.774], [39.76596, 2.7631], [39.76564, 2.77244], [39.76139, 2.76705], [39.76392, 2.7631], [39.77169, 2.77046], [39.78246, 2.78321], [39.78767, 2.79621], [39.77962, 2.78162], [39.76699, 2.76484], [39.759971, 2.7566], [39.76616, 2.75586], [39.76604, 2.74279]]
[[39.820688, 2.87086], [39.819498, 2.86942], [39.818322, 2.863778], [39.817616, 2.86027], [39.816377, 2.859928], [39.816499, 2.856217], [39.814901, 2.858664], [39.814657, 2.86343], [39.814746, 2.865647], [39.814638, 2.862079], [39.815637, 2.856831], [39.816998, 2.857766], [39.817134, 2.860195], [39.817948, 2.862833], [39.819608, 2.868329]]
[[39.459025, 3.26018], [39.455615, 3.265105], [39.45338, 3.274045], [39.453182, 3.275305], [39.454453, 3.277837], [39.458007, 3.277645], [39.461803, 3.281295], [39.465278, 3.282413], [39.467167, 3.281498], [39.470542, 3.28205], [39.473342, 3.284197], [39.475065, 3.28375], [39.47732, 3.281707], [39.477525, 3.287183], [39.477472, 3.281642]]
[[39.89751, 3.07812], [39.85893, 3.09928], [39.85232, 3.12181], [39.84157, 3.13249], [39.7916, 3.12259], [39.76536, 3.15739], [39.7566, 3.16635], [39.72448, 3.19963], [39.70593, 3.2321], [39.69249, 3.29113], [39.69117, 3.34241], [39.6959, 3.36324], [39.69695, 3.39803], [39.70243, 3.43371], [39.70591, 3.45677]]
[[39.869004, 2.924988], [39.873173, 2.924973], [39.87432, 2.933734], [39.877827, 2.934635], [39.880678, 2.935423], [39.884504, 2.937318], [39.885924, 2.939042], [39.889635, 2.941589], [39.892807, 2.939525], [39.893124, 2.937081], [39.888711, 2.93237], [39.884525, 2.930558], [39.880305, 2.932543], [39.875904, 2.931496], [39.873208, 2.926043]]
[[39.576133, 2.653831], [39.574623, 2.65321], [39.572187, 2.652013], [39.569568, 2.65001], [39.567569, 2.647806], [39.56745, 2.646317], [39.567104, 2.645033], [39.565724, 2.645148], [39.566159, 2.645972], [39.567884, 2.647867], [39.566527, 2.65109], [39.569937, 2.65077], [39.571938, 2.652116], [39.574245, 2.652176], [39.574472, 2.653061]]
[[39.884845, 3.022056], [39.868279, 2.975106], [39.868156, 2.94469], [39.867662, 2.941225], [39.867279, 2.938902], [39.86606, 2.930909], [39.86902, 2.926483], [39.865974, 2.920904], [39.861074, 2.916307], [39.856701, 2.913351], [39.854382, 2.907788], [39.852418, 2.897151], [39.830456, 2.895885], [39.820568, 2.893986], [39.812558, 2.889683]]
[[39.814468, 3.106853], [39.801064, 3.08401], [39.791683, 3.054958], [39.787174, 3.051162], [39.771538, 3.03099], [39.764259, 3.03022], [39.739605, 3.052388], [39.761776, 3.06808], [39.765285, 3.100757], [39.762115, 3.127097], [39.771725, 3.142062], [39.791172, 3.124012], [39.804169, 3.117967], [39.826027, 3.115582], [39.84153, 3.12882]]
[[39.861525, 2.947833], [39.861909, 2.944666], [39.860843, 2.941798], [39.861567, 2.940733], [39.861491, 2.938991], [39.860992, 2.936777], [39.858787, 2.935468], [39.85792, 2.933675], [39.85813, 2.933175], [39.857541, 2.93361], [39.858519, 2.934517], [39.857361, 2.934932], [39.855958, 2.935748], [39.858691, 2.938864], [39.860738, 2.94359]]
[[39.869111, 2.925053], [39.869745, 2.92523], [39.869071, 2.922881], [39.869354, 2.921578], [39.872429, 2.919978], [39.873909, 2.918435], [39.875767, 2.918245], [39.877787, 2.917185], [39.880184, 2.915759], [39.882184, 2.916152], [39.88531, 2.915806], [39.887856, 2.918294], [39.890605, 2.916662], [39.891532, 2.913904], [39.896052, 2.911777]]
[[39.420091, 3.076623], [39.429329, 3.044343], [39.431679, 3.02373], [39.430783, 3.019974], [39.427444, 3.021708], [39.435908, 3.00732], [39.436162, 3.016334], [39.432134, 3.028321], [39.423596, 3.060481], [39.419965, 3.076441], [39.419651, 3.077181], [39.419347, 3.077067], [39.419482, 3.077447], [39.41948, 3.077476], [39.419211, 3.077307]]
[[39.75646, 2.827329], [39.762397, 2.81826], [39.764698, 2.813741], [39.768224, 2.809424], [39.767582, 2.806928], [39.766664, 2.800625], [39.767518, 2.799198], [39.765337, 2.796727], [39.763153, 2.794572], [39.758804, 2.796608], [39.759584, 2.800347], [39.75875, 2.804271], [39.760829, 2.806399], [39.764675, 2.813724], [39.761638, 2.819034]]
[[39.737062, 3.311292], [39.737336, 3.314807], [39.738095, 3.318018], [39.739229, 3.319139], [39.740053, 3.318845], [39.741628, 3.316071], [39.744409, 3.315586], [39.74837, 3.312627], [39.751201, 3.307766], [39.750484, 3.303488], [39.749747, 3.302845], [39.747398, 3.294618], [39.744579, 3.288957], [39.739902, 3.282506], [39.739544, 3.278829]]
[[39.790615, 2.693164], [39.798152, 2.693895], [39.801745, 2.69966], [39.808904, 2.707497], [39.813799, 2.714474], [39.816708, 2.720675], [39.814664, 2.71486], [39.819016, 2.722399], [39.818858, 2.725468], [39.817129, 2.727699], [39.813203, 2.731938], [39.804531, 2.728337], [39.797272, 2.726647], [39.787439, 2.723589], [39.77758, 2.721835]]
[[39.807551, 3.115461], [39.812072, 3.115461], [39.817564, 3.114125], [39.823381, 3.115198], [39.829239, 3.116265], [39.835152, 3.118309], [39.839621, 3.122606], [39.841176, 3.128153], [39.840531, 3.127854], [39.838711, 3.122542], [39.835313, 3.11851], [39.829923, 3.116612], [39.823371, 3.115209], [39.817247, 3.114079], [39.811689, 3.115533]]
[[39.955583, 3.211976], [39.953985, 3.207526], [39.953379, 3.202364], [39.951144, 3.193551], [39.952018, 3.185547], [39.948352, 3.171973], [39.947201, 3.159626], [39.938774, 3.144612], [39.930356, 3.134065], [39.932572, 3.127505], [39.930929, 3.122314], [39.92915, 3.111894], [39.924585, 3.107677], [39.916738, 3.107634], [39.91395, 3.104429]]
[[39.583025, 2.349516], [39.588358, 2.354854], [39.591447, 2.357658], [39.594207, 2.359181], [39.59749, 2.359038], [39.600086, 2.360836], [39.599963, 2.360961], [39.598739, 2.363099], [39.596454, 2.363043], [39.595086, 2.362627], [39.593376, 2.361898], [39.591869, 2.361924], [39.590626, 2.362725], [39.589601, 2.357929], [39.586537, 2.354062]]
[[39.692475, 2.701461], [39.695749, 2.704354], [39.700061, 2.708542], [39.701647, 2.711211], [39.703734, 2.717239], [39.707833, 2.720472], [39.712065, 2.723398], [39.716619, 2.723441], [39.714766, 2.728254], [39.708164, 2.727071], [39.702024, 2.722269], [39.694692, 2.719882], [39.689311, 2.720752], [39.684377, 2.717544], [39.683784, 2.706206]]
[[39.848216, 2.89618], [39.854582, 2.888435], [39.856266, 2.882701], [39.860302, 2.876644], [39.863081, 2.866214], [39.864519, 2.857645], [39.861546, 2.853008], [39.856809, 2.849225], [39.852917, 2.843722], [39.846321, 2.843584], [39.848251, 2.851706], [39.847316, 2.859999], [39.840067, 2.86503], [39.837364, 2.877344], [39.825486, 2.877932]]
[[39.668049, 2.576728], [39.668608, 2.570598], [39.665095, 2.567043], [39.6648, 2.565368], [39.662931, 2.561611], [39.661905, 2.563697], [39.659764, 2.560422], [39.657313, 2.558197], [39.657885, 2.553069], [39.65981, 2.551504], [39.6616, 2.555046], [39.663664, 2.55598], [39.666331, 2.562728], [39.665774, 2.567677], [39.668557, 2.571196]]
[[39.71355, 2.620924], [39.715325, 2.624932], [39.718252, 2.629154], [39.719341, 2.633653], [39.722457, 2.633375], [39.724375, 2.634741], [39.728021, 2.638237], [39.73031, 2.633879], [39.728583, 2.625847], [39.728877, 2.621908], [39.728389, 2.616693], [39.726055, 2.612288], [39.724433, 2.61791], [39.720604, 2.6213], [39.717509, 2.622932]]
[[39.75718, 2.82563], [39.7607, 2.82055], [39.7625, 2.81885], [39.76585, 2.81641], [39.7669, 2.81767], [39.76911, 2.81808], [39.77207, 2.82355], [39.77714, 2.83012], [39.77592, 2.8296], [39.76731, 2.82269], [39.76637, 2.82003], [39.7666, 2.81553], [39.76609, 2.81671], [39.76409, 2.81475], [39.76062, 2.82061]]
[[39.340508, 3.096951], [39.326206, 3.012309], [39.312332, 3.006012], [39.302807, 3.020706], [39.291271, 3.023062], [39.285519, 3.029418], [39.275303, 3.043781], [39.264969, 3.055795], [39.268806, 3.072288], [39.276264, 3.080024], [39.281548, 3.085275], [39.28804, 3.09057], [39.291374, 3.091143], [39.305481, 3.110118], [39.313358, 3.118011]]
[[39.317473, 2.998147], [39.31181, 3.006335], [39.301885, 3.020504], [39.295348, 3.018836], [39.289883, 3.028998], [39.285621, 3.028788], [39.279667, 3.042127], [39.268677, 3.048209], [39.269061, 3.048076], [39.277197, 3.044041], [39.285485, 3.029536], [39.289457, 3.028425], [39.295323, 3.01931], [39.302003, 3.020439], [39.311806, 3.006383]]
[[39.727346, 2.817143], [39.732047, 2.819508], [39.735002, 2.819993], [39.736156, 2.817357], [39.736186, 2.813608], [39.740152, 2.815566], [39.740857, 2.816902], [39.742587, 2.815389], [39.740136, 2.812196], [39.736718, 2.81355], [39.735123, 2.814826], [39.736625, 2.817835], [39.736224, 2.819258], [39.73203, 2.819491], [39.729696, 2.819216]]
[[39.45979, 3.279754], [39.462141, 3.277304], [39.464696, 3.274646], [39.465971, 3.271128], [39.468665, 3.270215], [39.468477, 3.274019], [39.467001, 3.277381], [39.46423, 3.27831], [39.463099, 3.275366], [39.464841, 3.272825], [39.467804, 3.269886], [39.468555, 3.273738], [39.466677, 3.277804], [39.463141, 3.277999], [39.460686, 3.276665]]
[[39.693272, 2.634259], [39.69276, 2.630832], [39.691486, 2.629514], [39.689903, 2.62695], [39.689278, 2.627433], [39.688431, 2.627278], [39.689152, 2.630157], [39.687805, 2.628247], [39.686127, 2.623933], [39.687973, 2.624277], [39.688679, 2.624134], [39.689335, 2.621643], [39.689362, 2.622684], [39.692154, 2.62928], [39.693199, 2.632309]]
[[39.565152, 2.648301], [39.569523, 2.6464], [39.572142, 2.650862], [39.572482, 2.650668], [39.57147, 2.646062], [39.574804, 2.644415], [39.572685, 2.641602], [39.576278, 2.64672], [39.576427, 2.652262], [39.570567, 2.651132], [39.567216, 2.649381], [39.568135, 2.653723], [39.565669, 2.651491], [39.56754, 2.656043], [39.564426, 2.651944]]
[[39.569275, 2.639522], [39.565617, 2.594752], [39.55863, 2.546261], [39.535087, 2.548009], [39.524305, 2.496934], [39.578791, 2.469856], [39.577271, 2.420776], [39.58322, 2.382206], [39.605484, 2.381814], [39.636999, 2.437812], [39.653575, 2.483208], [39.671426, 2.50562], [39.681495, 2.550669], [39.732897, 2.609761], [39.775558, 2.677288]]
[[39.543644, 3.335344], [39.497029, 3.269912], [39.454157, 3.220794], [39.457377, 3.182344], [39.456954, 3.183927], [39.4681, 3.141335], [39.449427, 2.967266], [39.514197, 2.907543], [39.521209, 2.929785], [39.524807, 2.917963], [39.569592, 2.982226], [39.598169, 3.071834], [39.594411, 3.087944], [39.596559, 3.129585], [39.565845, 3.221448]]
[[39.541084, 3.236547], [39.514934, 3.224874], [39.495928, 3.194833], [39.472875, 3.188438], [39.455522, 3.182387], [39.455605, 3.18772], [39.456765, 3.185756], [39.457866, 3.180274], [39.462919, 3.20539], [39.418127, 3.258991], [39.44075, 3.27369], [39.455916, 3.275084], [39.475856, 3.27369], [39.486323, 3.287224], [39.511358, 3.251567]]
[[39.688759, 2.758854], [39.697258, 2.758722], [39.704285, 2.754076], [39.709724, 2.749745], [39.712597, 2.751433], [39.716938, 2.748939], [39.72094, 2.74933], [39.724346, 2.747737], [39.723515, 2.747076], [39.722816, 2.747051], [39.722927, 2.749555], [39.716995, 2.748956], [39.711945, 2.751651], [39.707161, 2.750749], [39.700397, 2.757541]]
[[39.760327, 2.757846], [39.760339, 2.757503], [39.760471, 2.75715], [39.760471, 2.75715], [39.760614, 2.757113], [39.760454, 2.756833], [39.760469, 2.756775], [39.76064, 2.756786], [39.76064, 2.756786], [39.760764, 2.756701], [39.760896, 2.756509], [39.760684, 2.756424], [39.760785, 2.756383], [39.760785, 2.756383], [39.76105, 2.756111]]
[[39.470203, 3.276075], [39.470421, 3.280157], [39.469858, 3.283774], [39.472927, 3.280653], [39.474999, 3.285766], [39.477572, 3.287174], [39.481555, 3.280127], [39.482855, 3.28704], [39.483262, 3.287327], [39.484548, 3.28353], [39.484692, 3.284257], [39.48458, 3.284707], [39.483582, 3.278014], [39.477892, 3.279354], [39.476168, 3.273417]]
[[39.737696, 3.335661], [39.746877, 3.343348], [39.756404, 3.345686], [39.767827, 3.349856], [39.76861, 3.353217], [39.769764, 3.35724], [39.767498, 3.369231], [39.76483, 3.378408], [39.764834, 3.382396], [39.75916, 3.386645], [39.751812, 3.384317], [39.747653, 3.38203], [39.748092, 3.371325], [39.744184, 3.360372], [39.740796, 3.35107]]
[[39.736833, 3.181302], [39.740527, 3.18542], [39.744038, 3.180793], [39.741975, 3.173649], [39.748798, 3.180438], [39.754541, 3.181954], [39.754815, 3.181638], [39.757832, 3.174821], [39.757064, 3.167827], [39.75754, 3.174405], [39.754545, 3.182155], [39.752397, 3.187475], [39.751151, 3.18727], [39.748126, 3.185712], [39.741703, 3.186088]]
[[39.756513, 2.827373], [39.759462, 2.822612], [39.763033, 2.818671], [39.764495, 2.813091], [39.76511, 2.809676], [39.768752, 2.809497], [39.772394, 2.804966], [39.77573, 2.798882], [39.777233, 2.798188], [39.774864, 2.803435], [39.77165, 2.807136], [39.768676, 2.810962], [39.764884, 2.813235], [39.763026, 2.818716], [39.759556, 2.822654]]
[[39.721799, 2.593997], [39.726455, 2.598975], [39.729867, 2.601335], [39.733086, 2.605176], [39.736025, 2.606463], [39.735682, 2.604446], [39.735403, 2.604318], [39.736218, 2.605584], [39.733279, 2.605584], [39.731605, 2.604725], [39.728923, 2.603331], [39.728923, 2.603803], [39.728022, 2.60612], [39.727314, 2.607193], [39.724374, 2.606184]]
[[39.526385, 2.914154], [39.522217, 2.91425], [39.520289, 2.915108], [39.517815, 2.917009], [39.517723, 2.920672], [39.518894, 2.925989], [39.518658, 2.925261], [39.519519, 2.927911], [39.520296, 2.92724], [39.525651, 2.930956], [39.527651, 2.926537], [39.527113, 2.925697], [39.527243, 2.929163], [39.528296, 2.922018], [39.523023, 2.920491]]
[[39.831559, 3.116705], [39.821625, 3.114604], [39.83446, 3.105416], [39.850326, 3.096435], [39.856793, 3.06095], [39.872249, 3.029256], [39.880033, 3.013783], [39.882093, 3.012626], [39.895419, 3.045513], [39.909374, 3.085582], [39.903754, 3.080982], [39.876219, 3.083159], [39.852464, 3.114454], [39.846396, 3.123981], [39.841245, 3.133361]]
[[39.73379, 2.761326], [39.742445, 2.767299], [39.753694, 2.774656], [39.756274, 2.776431], [39.757821, 2.777046], [39.758807, 2.774354], [39.758592, 2.769493], [39.755561, 2.764192], [39.752985, 2.759981], [39.751332, 2.756558], [39.748346, 2.747309], [39.744326, 2.745309], [39.741381, 2.743771], [39.741961, 2.752015], [39.737725, 2.756444]]
[[39.819546, 2.869625], [39.818008, 2.864357], [39.815773, 2.859247], [39.815449, 2.855248], [39.815346, 2.852241], [39.814693, 2.847521], [39.811813, 2.844566], [39.811966, 2.841223], [39.809761, 2.835212], [39.81089, 2.833668], [39.813259, 2.831362], [39.816017, 2.829797], [39.818863, 2.833408], [39.820026, 2.837099], [39.824665, 2.841304]]
