Points
[[39.662598, 2.580131], [39.661254, 2.579472], [39.658796, 2.575263], [39.659616, 2.574229], [39.657645, 2.571466], [39.656221, 2.569047], [39.65527, 2.565874], [39.65496, 2.563865], [39.656019, 2.560218], [39.654671, 2.557055], [39.652607, 2.555273], [39.651369, 2.553232], [39.649339, 2.551772], [39.650022, 2.551225], [39.652671, 2.551585], [39.65379, 2.550949], [39.655727, 2.551862], [39.657349, 2.558158], [39.657981, 2.559454], [39.659473, 2.560237], [39.659972, 2.561467], [39.661654, 2.560201], [39.662962, 2.55961], [39.664531, 2.564625], [39.665198, 2.566161], [39.665209, 2.567363], [39.665834, 2.567792], [39.667863, 2.570039], [39.668595, 2.571771], [39.667994, 2.577111]]
[[39.430714, 3.019666], [39.431515, 3.01317], [39.4384, 3.00193], [39.442745, 2.983323], [39.449848, 2.96582], [39.454292, 2.952421], [39.461838, 2.93679], [39.473656, 2.92222], [39.483387, 2.907341], [39.489395, 2.899254], [39.486481, 2.887199], [39.492863, 2.885262], [39.502075, 2.865706], [39.511742, 2.844997], [39.521034, 2.825076], [39.527199, 2.811911], [39.529228, 2.806775], [39.535526, 2.789328], [39.540874, 2.774653], [39.54475, 2.76402], [39.547318, 2.756469], [39.547707, 2.75435], [39.558487, 2.769147], [39.56707, 2.758518], [39.569389, 2.75112], [39.571312, 2.726008], [39.568604, 2.710009], [39.570717, 2.686001], [39.571522, 2.664491], [39.567001, 2.657082]]
[[39.78727, 2.79692], [39.78072, 2.79203], [39.78029, 2.78424], [39.77806, 2.77851], [39.77441, 2.774], [39.76864, 2.76609], [39.76596, 2.7631], [39.76607, 2.76986], [39.76564, 2.77244], [39.76396, 2.76898], [39.76139, 2.76705], [39.75937, 2.76725], [39.76392, 2.7631], [39.76688, 2.76416], [39.77169, 2.77046], [39.77622, 2.77637], [39.78246, 2.78321], [39.78787, 2.79025], [39.78767, 2.79621], [39.78243, 2.79309], [39.77962, 2.78162], [39.77433, 2.77384], [39.76699, 2.76484], [39.76292, 2.76106], [39.759971, 2.7566], [39.76269, 2.75593], [39.76616, 2.75586], [39.76599, 2.75239], [39.76604, 2.74279], [39.76981, 2.73493]]
[[39.820688, 2.87086], [39.818614, 2.872459], [39.819498, 2.86942], [39.819865, 2.866189], [39.818322, 2.863778], [39.817919, 2.861393], [39.817616, 2.86027], [39.816789, 2.860292], [39.816377, 2.859928], [39.816908, 2.858281], [39.816499, 2.856217], [39.815615, 2.856791], [39.814901, 2.858664], [39.814655, 2.861826], [39.814657, 2.86343], [39.814567, 2.865213], [39.814746, 2.865647], [39.814784, 2.864095], [39.814638, 2.862079], [39.814957, 2.858844], [39.815637, 2.856831], [39.816206, 2.854537], [39.816998, 2.857766], [39.816062, 2.860241], [39.817134, 2.860195], [39.817756, 2.860481], [39.817948, 2.862833], [39.819272, 2.865716], [39.819608, 2.868329], [39.818154, 2.872262]]
[[39.459025, 3.26018], [39.455807, 3.260557], [39.455615, 3.265105], [39.454302, 3.269033], [39.45338, 3.274045], [39.452577, 3.276655], [39.453182, 3.275305], [39.45358, 3.274047], [39.454453, 3.277837], [39.456233, 3.277632], [39.458007, 3.277645], [39.458775, 3.280312], [39.461803, 3.281295], [39.46377, 3.279782], [39.465278, 3.282413], [39.46677, 3.278853], [39.467167, 3.281498], [39.469608, 3.281608], [39.470542, 3.28205], [39.473125, 3.280787], [39.473342, 3.284197], [39.475363, 3.283343], [39.475065, 3.28375], [39.475597, 3.28508], [39.47732, 3.281707], [39.476593, 3.284478], [39.477525, 3.287183], [39.476292, 3.28542], [39.477472, 3.281642], [39.475775, 3.284842]]
[[39.89751, 3.07812], [39.87057, 3.08651], [39.85893, 3.09928], [39.85291, 3.11972], [39.85232, 3.12181], [39.84732, 3.12864], [39.84157, 3.13249], [39.82886, 3.11831], [39.7916, 3.12259], [39.77179, 3.14452], [39.76536, 3.15739], [39.76258, 3.1638], [39.7566, 3.16635], [39.75556, 3.15886], [39.72448, 3.19963], [39.70981, 3.22255], [39.70593, 3.2321], [39.70102, 3.26317], [39.69249, 3.29113], [39.69308, 3.31909], [39.69117, 3.34241], [39.6949, 3.35353], [39.6959, 3.36324], [39.69498, 3.37857], [39.69695, 3.39803], [39.70028, 3.41591], [39.70243, 3.43371], [39.70134, 3.43948], [39.70591, 3.45677], [39.70762, 3.4599]]
[[39.869004, 2.924988], [39.870302, 2.924553], [39.873173, 2.924973], [39.873955, 2.92936], [39.87432, 2.933734], [39.876081, 2.934268], [39.877827, 2.934635], [39.879053, 2.934661], [39.880678, 2.935423], [39.882125, 2.936382], [39.884504, 2.937318], [39.885056, 2.938172], [39.885924, 2.939042], [39.887582, 2.940091], [39.889635, 2.941589], [39.891039, 2.940556], [39.892807, 2.939525], [39.893367, 2.938599], [39.893124, 2.937081], [39.891512, 2.935336], [39.888711, 2.93237], [39.886058, 2.930473], [39.884525, 2.930558], [39.88257, 2.930277], [39.880305, 2.932543], [39.877873, 2.932069], [39.875904, 2.931496], [39.874068, 2.929907], [39.873208, 2.926043], [39.871057, 2.924311]]
[[39.576133, 2.653831], [39.576102, 2.653679], [39.574623, 2.65321], [39.57365, 2.652035], [39.572187, 2.652013], [39.570791, 2.651465], [39.569568, 2.65001], [39.569001, 2.648603], [39.567569, 2.647806], [39.567014, 2.647262], [39.56745, 2.646317], [39.566865, 2.645908], [39.567104, 2.645033], [39.567067, 2.644159], [39.565724, 2.645148], [39.56568, 2.645886], [39.566159, 2.645972], [39.567164, 2.646435], [39.567884, 2.647867], [39.567255, 2.6506], [39.566527, 2.65109], [39.567972, 2.650562], [39.569937, 2.65077], [39.571341, 2.652046], [39.571938, 2.652116], [39.573125, 2.652183], [39.574245, 2.652176], [39.573973, 2.652664], [39.574472, 2.653061], [39.57482, 2.653552]]
[[39.884845, 3.022056], [39.877254, 2.99753], [39.868279, 2.975106], [39.869037, 2.949657], [39.868156, 2.94469], [39.86599, 2.939765], [39.867662, 2.941225], [39.869778, 2.943193], [39.867279, 2.938902], [39.867114, 2.933033], [39.86606, 2.930909], [39.867584, 2.927722], [39.86902, 2.926483], [39.866571, 2.924375], [39.865974, 2.920904], [39.863207, 2.917074], [39.861074, 2.916307], [39.85932, 2.915052], [39.856701, 2.913351], [39.85836, 2.910535], [39.854382, 2.907788], [39.855617, 2.904114], [39.852418, 2.897151], [39.837376, 2.897344], [39.830456, 2.895885], [39.826929, 2.899715], [39.820568, 2.893986], [39.817338, 2.893653], [39.812558, 2.889683], [39.808948, 2.89361]]
[[39.814468, 3.106853], [39.810684, 3.09895], [39.801064, 3.08401], [39.795372, 3.072997], [39.791683, 3.054958], [39.788528, 3.050225], [39.787174, 3.051162], [39.773472, 3.03224], [39.771538, 3.03099], [39.767479, 3.03343], [39.764259, 3.03022], [39.742767, 3.048583], [39.739605, 3.052388], [39.747356, 3.054397], [39.761776, 3.06808], [39.764091, 3.086787], [39.765285, 3.100757], [39.760303, 3.111848], [39.762115, 3.127097], [39.770649, 3.14078], [39.771725, 3.142062], [39.791119, 3.123093], [39.791172, 3.124012], [39.795643, 3.120725], [39.804169, 3.117967], [39.814838, 3.114373], [39.826027, 3.115582], [39.837215, 3.119597], [39.84153, 3.12882], [39.841217, 3.133157]]
[[39.861525, 2.947833], [39.861574, 2.945126], [39.861909, 2.944666], [39.861098, 2.943349], [39.860843, 2.941798], [39.861433, 2.941531], [39.861567, 2.940733], [39.861494, 2.940156], [39.861491, 2.938991], [39.861283, 2.93793], [39.860992, 2.936777], [39.859535, 2.935063], [39.858787, 2.935468], [39.858561, 2.934507], [39.85792, 2.933675], [39.857603, 2.933506], [39.85813, 2.933175], [39.858271, 2.932908], [39.857541, 2.93361], [39.857835, 2.934007], [39.858519, 2.934517], [39.858167, 2.93515], [39.857361, 2.934932], [39.85592, 2.933335], [39.855958, 2.935748], [39.857665, 2.938056], [39.858691, 2.938864], [39.859609, 2.940873], [39.860738, 2.94359], [39.861471, 2.945305]]
