Points
[[-8.632746, 41.14692], [-8.63225472413793, 41.152462137931], [-8.63176344827586, 41.1484336758621], [-8.63127217241379, 41.1531373636364], [-8.63078089655172, 41.1537653453422], [-8.63028962068965, 41.1461908980957], [-8.62979834482759, 41.1505324137931], [-8.62930706896552, 41.1510509827586], [-8.62881579310345, 41.1521119655172], [-8.62832451724138, 41.1502562068966], [-8.62783324137931, 41.1473859444969], [-8.62734196551724, 41.1447006274071], [-8.62685068965517, 41.1447580492611], [-8.6263594137931, 41.1447303881871], [-8.62586813793103, 41.1446574264254], [-8.62537686206896, 41.1445844646637], [-8.6248855862069, 41.144511502902], [-8.62439431034483, 41.1444385411403], [-8.62390303448276, 41.1443575106897], [-8.62341175862069, 41.1442052151724], [-8.62292048275862, 41.1440529196552], [-8.62242920689655, 41.1439006241379], [-8.62193793103448, 41.1436613793103], [-8.62144665517241, 41.1433104679803], [-8.62095537931035, 41.1429595566502], [-8.62046410344828, 41.1426086453202], [-8.61997282758621, 41.1422795880509], [-8.61948155172414, 41.1419590765259], [-8.61899027586207, 41.1416385650009], [-8.618499, 41.141376]]
[[-8.670942, 41.166576], [-8.66986975862069, 41.1673709550225], [-8.66879751724138, 41.1661899310345], [-8.66772527586207, 41.16924798659], [-8.66665303448276, 41.169995908046], [-8.66558079310345, 41.1702479022201], [-8.66450855172414, 41.167398384034], [-8.66343631034483, 41.1645488658479], [-8.66236406896552, 41.1635608153163], [-8.66129182758621, 41.1633799156971], [-8.6602195862069, 41.1631990160779], [-8.65914734482759, 41.1630235275199], [-8.65807510344828, 41.1628482572944], [-8.65700286206897, 41.162672987069], [-8.65593062068966, 41.1624954100883], [-8.65485837931034, 41.1623152262753], [-8.65378613793103, 41.1621350424622], [-8.65271389655172, 41.1619537664577], [-8.65164165517241, 41.1617709980408], [-8.6505694137931, 41.1615882296238], [-8.64949717241379, 41.1614029600726], [-8.64842493103448, 41.1612148475499], [-8.64735268965517, 41.1610267350272], [-8.64628044827586, 41.1608317732192], [-8.64520820689655, 41.1606321954442], [-8.64413596551724, 41.1604386157439], [-8.64306372413793, 41.1602591968677], [-8.64199148275862, 41.1600870635828], [-8.64091924137931, 41.1599458415475], [-8.639847, 41.159826]]
[[-8.650395, 41.153814], [-8.6485375862069, 41.1500613103448], [-8.64668017241379, 41.1531478522167], [-8.64482275862069, 41.1520504058355], [-8.64296534482759, 41.1480469027699], [-8.64110793103448, 41.1491954309139], [-8.63925051724138, 41.1513495173607], [-8.63739310344828, 41.1523476997509], [-8.63553568965517, 41.1483856878196], [-8.63367827586207, 41.1483388167057], [-8.63182086206896, 41.146396585405], [-8.62996344827586, 41.1451182109533], [-8.62810603448276, 41.1476286231237], [-8.62624862068965, 41.1447626844828], [-8.62439120689655, 41.144569683908], [-8.62253379310345, 41.144080394664], [-8.62067637931034, 41.142835535809], [-8.61881896551724, 41.1416079712644], [-8.61696155172414, 41.1407237142857], [-8.61510413793103, 41.1403916527094], [-8.61324672413793, 41.1403528538231], [-8.61138931034483, 41.1405186603825], [-8.60953189655172, 41.1407069866319], [-8.60767448275862, 41.1408953128813], [-8.60581706896552, 41.1410836391307], [-8.60395965517241, 41.1412719653801], [-8.60210224137931, 41.1414602916295], [-8.60024482758621, 41.1416486178789], [-8.5983874137931, 41.1413277154357], [-8.59653, 41.140566]]
[[-8.610849, 41.145876], [-8.60960110344828, 41.1466456844502], [-8.60835320689655, 41.1444119642282], [-8.60710531034483, 41.1426731494746], [-8.6058574137931, 41.1425553223324], [-8.60460951724138, 41.1443460775862], [-8.60336162068966, 41.1455777951318], [-8.60211372413793, 41.1458128025078], [-8.60086582758621, 41.1461129482759], [-8.59961793103448, 41.1461324482759], [-8.59837003448276, 41.1461514389004], [-8.59712213793103, 41.1462779537581], [-8.59587424137931, 41.1462861871921], [-8.59462634482759, 41.1462610366201], [-8.59337844827586, 41.1464724571103], [-8.59213055172414, 41.1466955487085], [-8.59088265517241, 41.1469422811066], [-8.58963475862069, 41.1472926845638], [-8.58838686206897, 41.1485706975369], [-8.58713896551724, 41.1491981076923], [-8.58589106896552, 41.1485185302431], [-8.58464317241379, 41.1468342108536], [-8.58339527586207, 41.1455723332632], [-8.58214737931034, 41.1450884741379], [-8.58089948275862, 41.1450364784483], [-8.5796515862069, 41.1470401034483], [-8.57840368965517, 41.1487832382647], [-8.57715579310345, 41.1502082556174], [-8.57590789655172, 41.1506690505432], [-8.57466, 41.15196]]
[[-8.689086, 41.176431], [-8.68759851724138, 41.1762580082347], [-8.68611103448276, 41.1753067966029], [-8.68462355172414, 41.1736067830002], [-8.68313606896552, 41.1732988645948], [-8.6816485862069, 41.1727263132284], [-8.68016110344828, 41.1720110776162], [-8.67867362068965, 41.1719018885788], [-8.67718613793103, 41.1718502995814], [-8.67569865517241, 41.1724325274015], [-8.67421117241379, 41.1731541336207], [-8.67272368965517, 41.174177373399], [-8.67123620689655, 41.1752647172414], [-8.66974872413793, 41.1761792436782], [-8.66826124137931, 41.1775152561576], [-8.66677375862069, 41.1786938223976], [-8.66528627586207, 41.1790482070046], [-8.66379879310345, 41.1786233223454], [-8.66231131034483, 41.1775943786618], [-8.66082382758621, 41.1774171863582], [-8.65933634482759, 41.1773313222159], [-8.65784886206897, 41.1775914284907], [-8.65636137931035, 41.1778515347654], [-8.65487389655172, 41.177820454399], [-8.6533864137931, 41.1774629186142], [-8.65189893103448, 41.1780086605494], [-8.65041144827586, 41.1782910301578], [-8.64892396551724, 41.1785547612732], [-8.64743648275862, 41.1787885796333], [-8.645949, 41.180517]]
[[-8.615502, 41.140674], [-8.61419482758621, 41.1411865112534], [-8.61288765517241, 41.1414285666207], [-8.61158048275862, 41.141170617931], [-8.61027331034483, 41.1409126692414], [-8.60896613793103, 41.1410365949866], [-8.60765896551724, 41.1412729471943], [-8.60635179310345, 41.1414524750422], [-8.60504462068965, 41.141626155293], [-8.60373744827586, 41.1417998355438], [-8.60243027586207, 41.1418430086409], [-8.60112310344828, 41.1418797441654], [-8.59981593103448, 41.1419088082759], [-8.59850875862069, 41.1413580529655], [-8.5972015862069, 41.1408072976552], [-8.5958944137931, 41.140414951545], [-8.59458724137931, 41.1402316078818], [-8.59328006896552, 41.1400482642185], [-8.59197289655172, 41.1401962485166], [-8.59066572413793, 41.1404374723536], [-8.58935855172414, 41.1406964372203], [-8.58805137931035, 41.1418489441958], [-8.58674420689655, 41.1428315845556], [-8.58543703448276, 41.1431961199611], [-8.58412986206896, 41.1435606553667], [-8.58282268965517, 41.1504177771883], [-8.58151551724138, 41.1517872413793], [-8.58020834482759, 41.1480764187192], [-8.57890117241379, 41.1481177028398], [-8.577594, 41.144688]]
[[-8.604945, 41.144148], [-8.60406827586207, 41.1432198932986], [-8.60319155172414, 41.1426875560345], [-8.60231482758621, 41.1427971465517], [-8.60143810344828, 41.1476718305847], [-8.60056137931035, 41.1485698055172], [-8.59968465517241, 41.1484645986207], [-8.59880793103448, 41.1483593917241], [-8.59793120689655, 41.1486370328912], [-8.59705448275862, 41.1491815633677], [-8.59617775862069, 41.1497622507837], [-8.59530103448276, 41.1502500600667], [-8.59442431034483, 41.1506365728587], [-8.5935475862069, 41.1508830344828], [-8.59267086206897, 41.1506172879653], [-8.59179413793104, 41.1503850431605], [-8.5909174137931, 41.1501527983558], [-8.59004068965517, 41.1499181043591], [-8.58916396551724, 41.1496799000651], [-8.58828724137931, 41.149441695771], [-8.58741051724138, 41.1480419927586], [-8.58653379310345, 41.1477795931035], [-8.58565706896552, 41.1474972192118], [-8.58478034482759, 41.146499115245], [-8.58390362068966, 41.1460086482311], [-8.58302689655172, 41.145285635468], [-8.58215017241379, 41.1450266717101], [-8.58127344827586, 41.1450356178747], [-8.58039672413793, 41.1453875624182], [-8.57952, 41.145948]]
[[-8.624736, 41.161539], [-8.62440517241379, 41.159510937931], [-8.62407434482759, 41.1592462758621], [-8.62374351724138, 41.1589816137931], [-8.62341268965517, 41.1587169517241], [-8.62308186206897, 41.1584522896552], [-8.62275103448276, 41.1579462112949], [-8.62242020689655, 41.1565064361365], [-8.62208937931035, 41.1550666609782], [-8.62175855172414, 41.1536268858198], [-8.62142772413793, 41.1521871106615], [-8.62109689655172, 41.1507473355032], [-8.62076606896552, 41.1499544482758], [-8.62043524137931, 41.1487441034483], [-8.6201044137931, 41.1485566344828], [-8.6197735862069, 41.1484884391164], [-8.61944275862069, 41.1485272079741], [-8.61911193103448, 41.1485659768319], [-8.61878110344828, 41.1485821105826], [-8.61845027586207, 41.1481181914388], [-8.61811944827586, 41.1476542722949], [-8.61778862068966, 41.1472874200627], [-8.61745779310345, 41.1471812327586], [-8.61712696551724, 41.1455824489265], [-8.61679613793103, 41.1452095015674], [-8.61646531034483, 41.1458962194357], [-8.61613448275862, 41.1465829373041], [-8.61580365517241, 41.1472696551724], [-8.61547282758621, 41.1457065116796], [-8.615142, 41.147082]]
[[-8.615844, 41.140485], [-8.61493220689655, 41.1404699793103], [-8.6140204137931, 41.1427648965517], [-8.61310862068965, 41.1426322666439], [-8.61219682758621, 41.1405461334333], [-8.61128503448276, 41.1447019477833], [-8.61037324137931, 41.1438348941736], [-8.60946144827586, 41.1433111639558], [-8.60854965517241, 41.1431780344828], [-8.60763786206896, 41.1428115180783], [-8.60672606896552, 41.1424175880482], [-8.60581427586207, 41.1429427295119], [-8.60490248275862, 41.1440385369458], [-8.60399068965517, 41.1454009431818], [-8.60307889655172, 41.1455911666158], [-8.60216710344828, 41.145660904048], [-8.60125531034483, 41.1457401904048], [-8.60034351724138, 41.1466134584178], [-8.59943172413793, 41.1477017435345], [-8.59851993103448, 41.1491419714286], [-8.59760813793103, 41.1510004534884], [-8.59669634482759, 41.1527456685572], [-8.59578455172414, 41.154334583392], [-8.59487275862069, 41.1559224679803], [-8.59396096551724, 41.1574920842021], [-8.59304917241379, 41.1591036255012], [-8.59213737931034, 41.1605392265437], [-8.5912255862069, 41.1618834401623], [-8.59031379310345, 41.1629829553752], [-8.589402, 41.163309]]
[[-8.615907, 41.140557], [-8.61551689655172, 41.1406990747126], [-8.61512679310345, 41.1408411494253], [-8.61473668965517, 41.1409832241379], [-8.6143465862069, 41.1411257837295], [-8.61395648275862, 41.14126970539], [-8.61356637931035, 41.1414136270506], [-8.61317627586207, 41.1405251046477], [-8.61278617241379, 41.1395040512744], [-8.61239606896552, 41.1384829979011], [-8.61200596551724, 41.1374619445277], [-8.61161586206897, 41.1364408911544], [-8.61122575862069, 41.1365278303448], [-8.61083565517241, 41.1374172662069], [-8.61044555172414, 41.1361155], [-8.61005544827586, 41.1395094], [-8.60966534482759, 41.1395263293103], [-8.60927524137931, 41.1394214873403], [-8.60888513793103, 41.1378992654931], [-8.60849503448276, 41.136377043646], [-8.60810493103448, 41.1348548217989], [-8.60771482758621, 41.1345418208579], [-8.60732472413793, 41.1345209807538], [-8.60693462068966, 41.1344937642342], [-8.60654451724138, 41.1344665477145], [-8.6061544137931, 41.1344393311949], [-8.60576431034483, 41.1344121146752], [-8.60537420689655, 41.1343668140775], [-8.60498410344828, 41.1342702936367], [-8.604594, 41.134158]]
[[-8.621208, 41.151951], [-8.62080393103448, 41.1530539655172], [-8.62039986206896, 41.14811], [-8.61999579310345, 41.1479038137931], [-8.61959172413793, 41.155340631348], [-8.61918765517241, 41.1553161310345], [-8.6187835862069, 41.1552353172414], [-8.61837951724138, 41.1551545034483], [-8.61797544827586, 41.1550752857143], [-8.61757137931034, 41.1549991948052], [-8.61716731034483, 41.1549231038961], [-8.61676324137931, 41.154847012987], [-8.61635917241379, 41.1547709220779], [-8.61595510344828, 41.1546948311688], [-8.61555103448276, 41.1546187402597], [-8.61514696551724, 41.1545237258089], [-8.61474289655172, 41.1544080232417], [-8.61433882758621, 41.1542923206745], [-8.61393475862069, 41.1541766181072], [-8.61353068965517, 41.15406091554], [-8.61312662068965, 41.1539716143972], [-8.61272255172414, 41.153918525044], [-8.61231848275862, 41.1538654356909], [-8.6119144137931, 41.1551958742393], [-8.61151034482759, 41.1569334112853], [-8.61110627586207, 41.1570693253918], [-8.61070220689655, 41.1571879655172], [-8.61029813793103, 41.1572553103448], [-8.60989406896552, 41.1572983527851], [-8.60949, 41.157351]]
[[-8.623044, 41.164182], [-8.62095103448276, 41.1639584221889], [-8.61885806896552, 41.1637144595745], [-8.61676510344828, 41.1634528950633], [-8.61467213793103, 41.1631743349045], [-8.61257917241379, 41.1628771069353], [-8.61048620689655, 41.1626311103162], [-8.60839324137931, 41.1623617655172], [-8.60630027586207, 41.162102325], [-8.60420731034483, 41.1618460535809], [-8.60211434482759, 41.1616481632653], [-8.60002137931034, 41.1614147973151], [-8.5979284137931, 41.1611610413793], [-8.59583544827586, 41.1607534639809], [-8.59374248275862, 41.1605976059113], [-8.59164951724138, 41.1618269054986], [-8.58955655172414, 41.1641515862069], [-8.5874635862069, 41.1637506956409], [-8.58537062068966, 41.1633025151112], [-8.58327765517241, 41.1637313427992], [-8.58118468965517, 41.1642641588826], [-8.57909172413793, 41.1646418076019], [-8.57699875862069, 41.1661927409133], [-8.57490579310345, 41.1679096293103], [-8.57281282758621, 41.1691358076923], [-8.57071986206897, 41.1685032645394], [-8.56862689655172, 41.1679962987575], [-8.56653393103448, 41.1666364482759], [-8.56444096551724, 41.1671998517821], [-8.562348, 41.167953]]
[[-8.618868, 41.155101], [-8.61735755172414, 41.1548892294578], [-8.61584710344828, 41.1546477823356], [-8.61433665517241, 41.1543881431323], [-8.61282620689655, 41.1540316658215], [-8.61131575862069, 41.1565996896552], [-8.60980531034483, 41.157322279803], [-8.60829486206897, 41.1592520595611], [-8.6067844137931, 41.1649287489858], [-8.60527396551724, 41.1680050470984], [-8.60376351724138, 41.1711234413793], [-8.60225306896552, 41.1711486155172], [-8.60074262068966, 41.1712195648198], [-8.59923217241379, 41.171392672375], [-8.59772172413793, 41.1715657799303], [-8.59621127586207, 41.1714449953795], [-8.59470082758621, 41.1711713906049], [-8.59319037931034, 41.1707175199637], [-8.59167993103448, 41.1697414700544], [-8.59016948275862, 41.1687866498022], [-8.58865903448276, 41.1679076184285], [-8.5871485862069, 41.1670490169815], [-8.58563813793103, 41.1667074583261], [-8.58412768965517, 41.1663658996708], [-8.58261724137931, 41.1648692230993], [-8.58110679310345, 41.1633987894089], [-8.57959634482759, 41.1642079581281], [-8.57808589655173, 41.1649953932986], [-8.57657544827586, 41.1642037432361], [-8.575065, 41.162265]]
