Points
[[-8.632746, 41.14692], [-8.63245524489796, 41.1511142970039], [-8.63216448979592, 41.1517222163265], [-8.63187373469388, 41.1493380244898], [-8.63158297959184, 41.1498597606679], [-8.6312922244898, 41.1529259053803], [-8.63100146938775, 41.1540676962785], [-8.63071071428571, 41.1526832814499], [-8.63041995918367, 41.1482004453244], [-8.63012920408163, 41.1469493016582], [-8.62983844897959, 41.1504900816327], [-8.62954769387755, 41.1507969897959], [-8.62925693877551, 41.1511038979592], [-8.62896618367347, 41.1516524387755], [-8.62867542857143, 41.1523063943249], [-8.62838467346939, 41.1506076675985], [-8.62809391836735, 41.1489089408722], [-8.62780316326531, 41.1472102141459], [-8.62751240816326, 41.1455114874196], [-8.62722165306122, 41.1447146899019], [-8.62693089795918, 41.1447486742645], [-8.62664014285714, 41.1447720806224], [-8.6263493877551, 41.1447288991716], [-8.62605863265306, 41.1446857177208], [-8.62576787755102, 41.14464253627], [-8.62547712244898, 41.1445993548192], [-8.62518636734694, 41.1445561733684], [-8.6248956122449, 41.1445129919176], [-8.62460485714286, 41.1444698104668], [-8.62431410204082, 41.144426629016], [-8.62402334693878, 41.1443834475652], [-8.62373259183673, 41.1443046734694], [-8.62344183673469, 41.1442145393878], [-8.62315108163265, 41.1441244053061], [-8.62286032653061, 41.1440342712245], [-8.62256957142857, 41.1439441371429], [-8.62227881632653, 41.1438540030612], [-8.62198806122449, 41.1436971865889], [-8.62169730612245, 41.1434895043732], [-8.62140655102041, 41.1432818221574], [-8.62111579591837, 41.1430741399417], [-8.62082504081633, 41.1428664577259], [-8.62053428571429, 41.1426587755102], [-8.62024353061224, 41.1424561964422], [-8.6199527755102, 41.1422665059478], [-8.61966202040816, 41.1420768154535], [-8.61937126530612, 41.1418871249591], [-8.61908051020408, 41.1416974344647], [-8.61878975510204, 41.1415077439703], [-8.618499, 41.141376]]
[[-8.670942, 41.166576], [-8.67030740816327, 41.1663751437445], [-8.66967281632653, 41.1678190700976], [-8.6690382244898, 41.1652271020408], [-8.66840363265306, 41.1677654693878], [-8.66776904081633, 41.1692174591837], [-8.66713444897959, 41.169660106576], [-8.66649985714286, 41.1679962857143], [-8.66586526530612, 41.1692838520408], [-8.66523067346939, 41.1693174473022], [-8.66459608163265, 41.1676309977635], [-8.66396148979592, 41.1659445482248], [-8.66332689795918, 41.1642580986861], [-8.66269230612245, 41.1636161927507], [-8.66205771428571, 41.1635091297108], [-8.66142312244898, 41.1634020666708], [-8.66078853061224, 41.1632950036309], [-8.66015393877551, 41.1631880669152], [-8.65951934693878, 41.1630843355573], [-8.65888475510204, 41.1629806041994], [-8.65825016326531, 41.1628768728414], [-8.65761557142857, 41.1627731414835], [-8.65698097959184, 41.1626694101256], [-8.6563463877551, 41.1625652772812], [-8.65571179591837, 41.1624586378816], [-8.65507720408163, 41.162351998482], [-8.6544426122449, 41.1622453590825], [-8.65380802040816, 41.1621387196829], [-8.65317342857143, 41.1620320802834], [-8.65253883673469, 41.1619239267161], [-8.65190424489796, 41.1618157576531], [-8.65126965306122, 41.16170758859], [-8.65063506122449, 41.1615994195269], [-8.65000046938776, 41.1614912504638], [-8.64936587755102, 41.1613799258861], [-8.64873128571429, 41.161268593985], [-8.64809669387755, 41.1611572620838], [-8.64746210204082, 41.1610459301826], [-8.64682751020408, 41.1609335986146], [-8.64619291836735, 41.160815481156], [-8.64555832653061, 41.1606973636973], [-8.64492373469388, 41.1605792462386], [-8.64428914285714, 41.160464247012], [-8.64365455102041, 41.1603580603301], [-8.64301995918367, 41.1602518736483], [-8.64238536734694, 41.1601456869664], [-8.6417507755102, 41.160055360677], [-8.64111618367347, 41.1599717802887], [-8.64048159183673, 41.1598881999005], [-8.639847, 41.159826]]
[[-8.650395, 41.153814], [-8.64929571428571, 41.1524871428571], [-8.64819642857143, 41.1482739400922], [-8.64709714285714, 41.1509670306123], [-8.64599785714286, 41.1490818947369], [-8.64489857142857, 41.1518036497253], [-8.64379928571429, 41.1481289297424], [-8.6427, 41.1487037419355], [-8.64160071428571, 41.151362988012], [-8.64050142857143, 41.1522569585253], [-8.63940214285714, 41.1516543425605], [-8.63830285714286, 41.1494443598616], [-8.63720357142857, 41.1519434128191], [-8.63610428571429, 41.1495985486149], [-8.635005, 41.1521966213592], [-8.63390571428571, 41.1490001546463], [-8.63280642857143, 41.1516139090909], [-8.63170714285714, 41.1463040232558], [-8.63060785714286, 41.151882689441], [-8.62950857142857, 41.1509538712871], [-8.62840928571429, 41.1507289210084], [-8.62731, 41.14473615], [-8.62621071428571, 41.1447636321429], [-8.62511142857143, 41.144803021978], [-8.62401214285714, 41.144444705042], [-8.62291285714286, 41.1441795831933], [-8.62181357142857, 41.1436755985401], [-8.62071428571429, 41.1428685824176], [-8.619615, 41.1420810916031], [-8.61851571428571, 41.1414366904762], [-8.61741642857143, 41.1408885052265], [-8.61631714285714, 41.1405691146881], [-8.61521785714286, 41.1403997755102], [-8.61411857142857, 41.1402862949309], [-8.61301928571429, 41.1403577981366], [-8.61192, 41.1404648528827], [-8.61082071428571, 41.1405763112752], [-8.60972142857143, 41.1406877696677], [-8.60862214285714, 41.1407992280602], [-8.60752285714286, 41.1409106864527], [-8.60642357142857, 41.1410221448452], [-8.60532428571429, 41.1411336032377], [-8.604225, 41.1412450616302], [-8.60312571428571, 41.1413565200227], [-8.60202642857143, 41.1414679784152], [-8.60092714285714, 41.1415794368077], [-8.59982785714286, 41.1416908952002], [-8.59872857142857, 41.1414676223524], [-8.59762928571429, 41.1410168111762], [-8.59653, 41.140566]]
[[-8.610849, 41.145876], [-8.61011044897959, 41.146408074391], [-8.60937189795918, 41.1467386640354], [-8.60863334693878, 41.1456163045966], [-8.60789479591837, 41.1427476931768], [-8.60715624489796, 41.1426779587457], [-8.60641769387755, 41.1426082243146], [-8.60567914285714, 41.142803481203], [-8.60494059183674, 41.1438530010741], [-8.60420204081633, 41.1451190843337], [-8.60346348979592, 41.1455538259304], [-8.60272493877551, 41.1457111286964], [-8.6019863877551, 41.1458475306122], [-8.60124783673469, 41.1460489536178], [-8.60050928571428, 41.1461352321429], [-8.59977073469388, 41.1461384405762], [-8.59903218367347, 41.1461094777911], [-8.59829363265306, 41.146159184708], [-8.59755508163265, 41.1462340608483], [-8.59681653061224, 41.1463089369886], [-8.59607797959184, 41.1462934635569], [-8.59533942857143, 41.1462670867347], [-8.59460087755102, 41.146265351324], [-8.59386232653061, 41.1463904777365], [-8.5931237755102, 41.1465156041491], [-8.5923852244898, 41.1466451951579], [-8.59164667346939, 41.1467912204547], [-8.59090812244898, 41.1469372457515], [-8.59016957142857, 41.1470845023969], [-8.58943102040816, 41.1473719920559], [-8.58869246938776, 41.1479114588921], [-8.58795391836735, 41.1490280122085], [-8.58721536734694, 41.1492192441691], [-8.58647681632653, 41.1489026872841], [-8.58573826530612, 41.1483122870525], [-8.58499971428571, 41.1473154449649], [-8.58426116326531, 41.1463695832504], [-8.5835226122449, 41.1456895759084], [-8.58278406122449, 41.145115002551], [-8.58204551020408, 41.1450842295918], [-8.58130695918367, 41.1450534566327], [-8.58056840816326, 41.1454318047435], [-8.57982985714286, 41.1471218223938], [-8.57909130612245, 41.1469672839397], [-8.57835275510204, 41.1488414022383], [-8.57761420408163, 41.1496847798552], [-8.57687565306122, 41.1503243701426], [-8.57613710204082, 41.1505874157115], [-8.57539855102041, 41.1508504612804], [-8.57466, 41.15196]]
[[-8.689086, 41.176431], [-8.68820565306122, 41.1737448011391], [-8.68732530612245, 41.1777607959184], [-8.68644495918367, 41.176069698828], [-8.6855646122449, 41.1740584111437], [-8.68468426530612, 41.1736193510984], [-8.68380391836735, 41.1734371136748], [-8.68292357142857, 41.1732548762511], [-8.6820432244898, 41.1729160696153], [-8.68116287755102, 41.1724927669061], [-8.68028253061224, 41.1720694641968], [-8.67940218367347, 41.1719271566592], [-8.67852183673469, 41.1718966243954], [-8.67764148979592, 41.1718660921317], [-8.67676114285714, 41.1719170943878], [-8.67588079591837, 41.1723441674563], [-8.67500044897959, 41.1727712405248], [-8.67412010204082, 41.1731983135933], [-8.67323975510204, 41.1737940104956], [-8.67235940816327, 41.1744479825073], [-8.67147906122449, 41.175101954519], [-8.67059871428571, 41.1756566571429], [-8.66971836734694, 41.176197907483], [-8.66883802040816, 41.1768045819971], [-8.66795767346939, 41.1778892951895], [-8.66707732653061, 41.1786214990084], [-8.66619697959184, 41.1788312368371], [-8.66531663265306, 41.1790409746657], [-8.66443628571429, 41.1791232064191], [-8.66355593877551, 41.1784328903174], [-8.66267559183673, 41.1777425742156], [-8.66179524489796, 41.1775329037809], [-8.66091489795918, 41.1774280348666], [-8.66003455102041, 41.1773231659523], [-8.65915420408163, 41.1773631719639], [-8.65827385714286, 41.1775171124122], [-8.65739351020408, 41.1776710528605], [-8.65651316326531, 41.1778249933088], [-8.65563281632653, 41.1778916675798], [-8.65475246938776, 41.177728532901], [-8.65387212244898, 41.1772672539897], [-8.6529917755102, 41.1776218961215], [-8.65211142857143, 41.1779683220339], [-8.65123108163265, 41.1781354387409], [-8.65035073469388, 41.1783025554479], [-8.6494703877551, 41.1784688688144], [-8.64859004081633, 41.1786072511091], [-8.64770969387755, 41.1787456334039], [-8.64682934693877, 41.1788840156986], [-8.645949, 41.180517]]
[[-8.615502, 41.140674], [-8.61472836734694, 41.1409756512282], [-8.61395473469388, 41.1412813982647], [-8.61318110204082, 41.1414864734694], [-8.61240746938775, 41.1413338099592], [-8.61163383673469, 41.141181146449], [-8.61086020408163, 41.1410284829388], [-8.61008657142857, 41.1408758194286], [-8.60931293877551, 41.1409738892989], [-8.60853930612245, 41.1411137712177], [-8.60776567346939, 41.1412536531365], [-8.60699204081633, 41.1413674071643], [-8.60621840816327, 41.1414701975168], [-8.6054447755102, 41.1415729878693], [-8.60467114285714, 41.1416757782218], [-8.60389751020408, 41.1417785685743], [-8.60312387755102, 41.1418235163218], [-8.60235024489796, 41.1418452577546], [-8.6015766122449, 41.1418669991875], [-8.60080297959184, 41.1418887406204], [-8.60002934693878, 41.1419104820532], [-8.59925571428571, 41.1416727702857], [-8.59848208163265, 41.1413468130612], [-8.59770844897959, 41.1410208558367], [-8.59693481632653, 41.1406948986122], [-8.59616118367347, 41.1404523686191], [-8.59538755102041, 41.1403438591042], [-8.59461391836735, 41.1402353495892], [-8.59384028571428, 41.1401268400742], [-8.59306665306122, 41.1400183305592], [-8.59229302040816, 41.1401371732913], [-8.5915193877551, 41.1402799384193], [-8.59074575510204, 41.1404227035473], [-8.58997212244898, 41.1405654686752], [-8.58919848979592, 41.1408375605234], [-8.58842485714286, 41.1415196564885], [-8.58765122448979, 41.1422017524537], [-8.58687759183673, 41.1427943870653], [-8.58610395918367, 41.1430101325093], [-8.58533032653061, 41.1432258779534], [-8.58455669387755, 41.1434416233975], [-8.58378306122449, 41.1439660502355], [-8.58300942857143, 41.1491632747253], [-8.58223579591837, 41.1543604992151], [-8.58146216326531, 41.1507824081633], [-8.58068853061224, 41.1527139306123], [-8.57991489795918, 41.1504706193878], [-8.57914126530612, 41.1443315632653], [-8.57836763265306, 41.1600989443414], [-8.577594, 41.144688]]
[[-8.604945, 41.144148], [-8.60442612244898, 41.1454311151329], [-8.60390724489796, 41.1438731397174], [-8.60338836734694, 41.1440110225792], [-8.60286948979592, 41.1427278137755], [-8.6023506122449, 41.1427926734694], [-8.60183173469388, 41.1472398061224], [-8.60131285714286, 41.1478243043478], [-8.60079397959184, 41.1484559813665], [-8.60027510204082, 41.1485354522449], [-8.5997562244898, 41.1484731869388], [-8.59923734693878, 41.1484109216327], [-8.59871846938776, 41.1483486563265], [-8.59819959183674, 41.1485123706483], [-8.59768071428572, 41.1487834747253], [-8.59716183673469, 41.1491104587861], [-8.59664295918367, 41.1494541309303], [-8.59612408163265, 41.1497978030745], [-8.59560520408163, 41.1500875587357], [-8.59508632653061, 41.1503447162607], [-8.59456744897959, 41.1505734687294], [-8.59404857142857, 41.1508022211982], [-8.59352969387755, 41.1508701122449], [-8.59301081632653, 41.1507073420733], [-8.59249193877551, 41.1505698910664], [-8.59197306122449, 41.1504324400595], [-8.59145418367347, 41.1502949890526], [-8.59093530612245, 41.1501575380457], [-8.59041642857143, 41.1500200870388], [-8.58989755102041, 41.1498792138621], [-8.58937867346939, 41.1497382358106], [-8.58885979591837, 41.149597257759], [-8.58834091836735, 41.1494562797074], [-8.58782204081633, 41.1489432293878], [-8.58730316326531, 41.147806887551], [-8.58678428571429, 41.1476149836735], [-8.58626540816327, 41.1479559603499], [-8.58574653061225, 41.1478001107872], [-8.58522765306122, 41.1467168837272], [-8.5847087755102, 41.1464642722879], [-8.58418989795918, 41.1462116608486], [-8.58367102040816, 41.1458168285184], [-8.58315214285714, 41.1453889230056], [-8.58263326530612, 41.1450217421908], [-8.5821143877551, 41.1450270368596], [-8.58159551020408, 41.1450323315285], [-8.58107663265306, 41.1450376261974], [-8.58055775510204, 41.1452846249031], [-8.58003887755102, 41.1456163124516], [-8.57952, 41.145948]]
[[-8.624736, 41.161539], [-8.62454020408163, 41.1596189632653], [-8.62434440816327, 41.1594623265306], [-8.6241486122449, 41.1593056897959], [-8.62395281632653, 41.1591490530612], [-8.62375702040816, 41.1589924163265], [-8.6235612244898, 41.1588357795918], [-8.62336542857143, 41.1586791428571], [-8.62316963265306, 41.1585225061225], [-8.62297383673469, 41.1583658693878], [-8.62277804081633, 41.1580637439609], [-8.62258224489796, 41.1572116321324], [-8.62238644897959, 41.156359520304], [-8.62219065306122, 41.1555074084756], [-8.62199485714286, 41.1546552966472], [-8.62179906122449, 41.1538031848188], [-8.62160326530612, 41.1529510729904], [-8.62140746938775, 41.152098961162], [-8.62121167346939, 41.1512468493336], [-8.62101587755102, 41.1532318469388], [-8.62082008163265, 41.1555039795918], [-8.62062428571429, 41.1488512285714], [-8.62042848979592, 41.148740277551], [-8.62023269387755, 41.1486293265306], [-8.62003689795918, 41.1485183755102], [-8.61984110204082, 41.1484805271046], [-8.61964530612245, 41.1485034719388], [-8.61944951020408, 41.148526416773], [-8.61925371428572, 41.1485493616071], [-8.61905791836735, 41.1485723064413], [-8.61886212244898, 41.1485952512755], [-8.61866632653061, 41.1484211590429], [-8.61847053061225, 41.1481465946517], [-8.61827473469388, 41.1478720302604], [-8.61807893877551, 41.1475974658691], [-8.61788314285714, 41.1473790779221], [-8.61768734693878, 41.1470231704682], [-8.61749155102041, 41.1465313928571], [-8.61729575510204, 41.1464327662688], [-8.61709995918367, 41.1454463981517], [-8.61690416326531, 41.1449852671614], [-8.61670836734694, 41.1453916920223], [-8.61651257142857, 41.1457981168831], [-8.6163167755102, 41.146204541744], [-8.61612097959184, 41.1466109666048], [-8.61592518367347, 41.1470173914657], [-8.6157293877551, 41.1454251231073], [-8.61553359183674, 41.1456398670178], [-8.61533779591837, 41.1462553061224], [-8.615142, 41.147082]]
[[-8.615844, 41.140485], [-8.61530436734694, 41.1405869440233], [-8.61476473469388, 41.1404173451895], [-8.61422510204082, 41.142335452581], [-8.61368546938775, 41.140404831077], [-8.61314583673469, 41.1424885611235], [-8.61260620408163, 41.1405046024845], [-8.61206657142857, 41.1405593478261], [-8.61152693877551, 41.1442347773655], [-8.61098730612245, 41.1445771854227], [-8.61044767346939, 41.1440787234342], [-8.60990804081633, 41.1433617216018], [-8.60936840816326, 41.1433006311128], [-8.6088287755102, 41.1432395406238], [-8.60828914285714, 41.1430928966713], [-8.60774951020408, 41.1428597544086], [-8.60720987755102, 41.1426266121458], [-8.60667024489796, 41.1423934698831], [-8.6061306122449, 41.1426921253644], [-8.60559097959184, 41.1431196265571], [-8.60505134693877, 41.1437195422741], [-8.60451171428571, 41.1448705714286], [-8.60397208163265, 41.1454070753711], [-8.60343244897959, 41.1455661363554], [-8.60289281632653, 41.1456043404371], [-8.60235318367347, 41.1456447231588], [-8.60181355102041, 41.1456916477374], [-8.60127391836735, 41.1457385723159], [-8.60073428571429, 41.1461046460554], [-8.60019465306122, 41.1468878355342], [-8.59965502040816, 41.1475327206633], [-8.5991153877551, 41.147941192602], [-8.59857575510204, 41.1493269883382], [-8.59803612244898, 41.1494129295206], [-8.59749648979592, 41.1513506789742], [-8.59695685714286, 41.1522914859023], [-8.5964172244898, 41.1532322928303], [-8.59587759183673, 41.1541725543523], [-8.59533795918367, 41.1551123227822], [-8.59479832653061, 41.1560507093878], [-8.59425869387755, 41.156971682449], [-8.59371906122449, 41.1579196359753], [-8.59317942857143, 41.1588734053156], [-8.59263979591837, 41.159753470337], [-8.59210016326531, 41.1605974307072], [-8.59156053061225, 41.1614413910774], [-8.59102089795918, 41.162130270108], [-8.59048126530612, 41.1627810036014], [-8.58994163265306, 41.1634317370948], [-8.589402, 41.163309]]
[[-8.615907, 41.140557], [-8.61567612244898, 41.140641085034], [-8.61544524489796, 41.140725170068], [-8.61521436734694, 41.140809255102], [-8.61498348979592, 41.1408933401361], [-8.6147526122449, 41.1409774251701], [-8.61452173469388, 41.1410615102041], [-8.61429085714286, 41.1411463439667], [-8.61405997959184, 41.1412315220923], [-8.61382910204082, 41.1413167002179], [-8.6135982244898, 41.1414018783436], [-8.61336734693877, 41.1410252124224], [-8.61313646938775, 41.1404209155279], [-8.61290559183674, 41.1398166186335], [-8.61267471428572, 41.1392123217391], [-8.61244383673469, 41.1386080248447], [-8.61221295918367, 41.1380037279503], [-8.61198208163265, 41.1373994310559], [-8.61175120408163, 41.1367951341615], [-8.61152032653061, 41.1361908372671], [-8.61128944897959, 41.1363826163265], [-8.61105857142857, 41.1369090171429], [-8.61082769387755, 41.1374354179592], [-8.61059681632653, 41.1347994979592], [-8.61036593877551, 41.1368081326531], [-8.61013506122449, 41.1388167673469], [-8.60990418367347, 41.1408254020408], [-8.60967330612245, 41.1395697183673], [-8.60944242857143, 41.1368701371429], [-8.60921155102041, 41.1391729613244], [-8.60898067346939, 41.1382720545169], [-8.60874979591837, 41.1373711477094], [-8.60851891836735, 41.136470240902], [-8.60828804081633, 41.1355693340945], [-8.60805716326531, 41.134668427287], [-8.60782628571429, 41.1345398571429], [-8.60759540816326, 41.1345359955202], [-8.60736453061225, 41.1345237579497], [-8.60713365306123, 41.1345076502136], [-8.60690277551021, 41.1344915424775], [-8.60667189795918, 41.1344754347413], [-8.60644102040816, 41.1344593270052], [-8.60621014285714, 41.1344432192691], [-8.60597926530612, 41.134427111533], [-8.6057483877551, 41.1344110037969], [-8.60551751020408, 41.1343948960607], [-8.60528663265306, 41.1343451462234], [-8.60505575510204, 41.1342880218809], [-8.60482487755102, 41.1342308975384], [-8.604594, 41.134158]]
[[-8.621208, 41.151951], [-8.62096885714286, 41.1554635714286], [-8.62072971428571, 41.1508645714286], [-8.62049057142857, 41.1482561428571], [-8.62025142857143, 41.1478708571429], [-8.62001228571429, 41.1478867714286], [-8.61977314285714, 41.1553439298701], [-8.619534, 41.1553395818182], [-8.61929485714286, 41.1553352337662], [-8.61905571428571, 41.1552897428571], [-8.61881657142857, 41.1552419142857], [-8.61857742857143, 41.1551940857143], [-8.61833828571429, 41.1551462571429], [-8.61809914285714, 41.1550985788497], [-8.61786, 41.1550535454545], [-8.61762085714286, 41.1550085120594], [-8.61738171428571, 41.1549634786642], [-8.61714257142857, 41.154918445269], [-8.61690342857143, 41.1548734118738], [-8.61666428571428, 41.1548283784787], [-8.61642514285714, 41.1547833450835], [-8.616186, 41.1547383116883], [-8.61594685714286, 41.1546932782931], [-8.61570771428571, 41.154648244898], [-8.61546857142857, 41.1546032115028], [-8.61522942857143, 41.1545473385777], [-8.61499028571428, 41.1544788615481], [-8.61475114285714, 41.1544103845186], [-8.614512, 41.154341907489], [-8.61427285714286, 41.1542734304594], [-8.61403371428571, 41.1542049534298], [-8.61379457142857, 41.1541364764002], [-8.61355542857143, 41.1540679993707], [-8.61331628571429, 41.1539995223411], [-8.61307714285714, 41.1539651136601], [-8.612838, 41.1539336934307], [-8.61259885714286, 41.1539022732013], [-8.61235971428571, 41.1538708529718], [-8.61212057142857, 41.1538394327424], [-8.61188142857143, 41.1556341758242], [-8.61164228571429, 41.1568890311688], [-8.61140314285714, 41.1569694701299], [-8.611164, 41.1570499090909], [-8.61092485714286, 41.1571303480519], [-8.61068571428571, 41.1571907142857], [-8.61044657142857, 41.1572305714286], [-8.61020742857143, 41.1572702307692], [-8.60996828571428, 41.1572916923077], [-8.60972914285714, 41.1573131538462], [-8.60949, 41.157351]]
