Iteration;ELBO
0;-7768400011.025754
1;-8.5930227493653327e+45
2;-41381290753055.523
3;-3050379120.2672324
4;-6159211359.8578558
5;-7932636244.5515051
6;-8991348378.1398087
7;-9620399711.3927479
8;-9970794887.9474068
9;-10130921031.983316
10;-10156461527.81802
11;-10084511102.928068
12;-9940879677.8648624
13;-9744154271.0947132
14;-9508095928.2083282
15;-9243121889.8443928
16;-8957262213.3600559
17;-8656796073.8774929
18;-8346690759.3197355
19;-8030909468.8205566
20;-7712635257.9797144
21;-7394434315.4053564
22;-7078380241.6599207
23;-6766147315.8111811
24;-6459084385.1047497
25;-6158271488.3327379
26;-5864566048.9960871
27;-5578640078.6015263
28;-5301009545.2375603
29;-5032059464.2437544
30;-4772064667.9957628
31;-4521206401.2757235
32;-4279587069.400382
33;-4047242683.1830797
34;-3824152819.6295199
35;-3610249780.745069
36;-3405426241.6657557
37;-3209541992.7727327
38;-3022429281.0699091
39;-2843897912.171299
40;-2673739504.5810823
41;-2511731176.1961913
42;-2357638738.5377245
43;-2211219464.4069533
44;-2072224483.4583952
45;-1940400941.729969
46;-1815493598.2936933
47;-1697246470.8195837
48;-1585404157.9808471
49;-1479712971.4195013
50;-1379921900.133395
51;-1285783428.2263107
52;-1197054223.5514028
53;-1113495713.505585
54;-1034874517.7918772
55;-960962933.92708981
56;-891539197.64042306
57;-826387729.82602131
58;-765299325.19657373
59;-708071290.11867452
60;-654507536.05042374
61;-604418609.66479969
62;-557621768.4782356
63;-513940942.55801153
64;-473206701.28498477
65;-435256198.24109036
66;-399933081.10031241
67;-367087437.09730208
68;-336575668.96128833
69;-308260366.59029824
70;-282010208.46419454
71;-257699811.72153515
72;-235209581.13291931
73;-214425582.58316979
74;-195239378.99564946
75;-177547867.1410231
76;-161253134.48284522
77;-146262283.07347625
78;-132487279.95068632
79;-119844781.19705911
80;-108255978.77908304
81;-97646426.578863248
82;-87945886.044767126
83;-79088155.660556927
84;-71010917.368718013
85;-63655570.677707076
86;-56967081.493330792
87;-50893821.857149281
