Iteration;ELBO
0;-1763680733.6887259
1;-6.6817716966344548e+44
2;-3217748637417.4302
3;-308869014.25089705
4;-622361229.33410573
5;-805072938.6336658
6;-917851946.29941571
7;-988131473.53546917
8;-1030476731.0360407
9;-1053474301.9671538
10;-1062569599.6327717
11;-1061410159.4157398
12;-1052546599.8073843
13;-1037825425.3784758
14;-1018622059.3653275
15;-995985454.87276554
16;-700843267.97310519
17;-943505382.77537465
18;-914824055.51549542
19;-885106591.56143403
20;-854695751.11681962
21;-823873832.67554951
22;-792874665.23388541
23;-761892575.54198611
24;-731089468.99061167
25;-700600233.24795043
26;-670537137.47084391
27;-640993369.41200709
28;-612045816.64752829
29;-583757449.1162343
30;-556179294.77159512
31;-529352014.49665415
32;-503307315.52176619
33;-478069152.08919096
34;-453654687.1857174
35;-430075192.64561719
36;-407336808.1565448
37;-385441221.69675171
38;-364386212.97432655
39;-344166186.16310281
40;-324772622.36039567
41;-306194480.59713131
42;-146603868.00302532
43;-271429786.67140281
44;-255211556.39087531
45;-239745936.85119072
46;-225013900.56870708
47;-210995532.31207877
48;-197670208.93588215
49;-185016760.13357684
50;-173013612.02718002
51;-161638915.389972
52;-150870659.98765069
53;-140686776.45736015
54;-131065221.53830728
55;-121984070.17006205
56;-113421580.22977415
57;-105356255.35873631
58;-97766900.20272857
59;-90632668.777409792
60;-83933106.577879712
61;-77648183.905334771
62;-24525415.924779147
63;-66244475.467843458
64;-61088035.204150841
65;-56270966.054199636
66;-51775759.859441862
67;-47585463.426054947
68;-43683684.531222105
69;-40054596.158169255
70;-36682943.35487932
71;-33554042.362481814
72;-30653778.44173402
73;-27968605.747714225
74;-25485541.294541828
75;-23192157.981781185
76;-21076579.216263317
77;-19127468.306937821
78;-17334020.378939603
79;-15685949.99173299
80;-14173480.888967538
81;-12787332.250138042
82;-11518706.75579736
83;-10359275.837790465
84;-9301166.4846710023
85;-8336945.8162501464
86;-7459607.0059458138
87;-6662553.4702777583
88;-5939584.2413267018
89;-5284878.029145808
90;-4692978.1385054355
91;-4158777.2612678809
92;-3677501.7650695979
93;-3244696.7499916293
94;-2856211.1689890446
95;-2508182.7539077932
96;-2197023.6506604785
97;-1919406.1763120785
98;-1672248.9734322208
99;-1452703.2608366229
100;-1258139.7373750331
101;-1086135.7747334102
102;-934463.02148232132
103;-801075.4719661735
104;-684097.84214117657
105;243735.554583219
106;-492659.02195868164
107;-415203.63373706141
108;-348149.8713470737
109;-290319.12727427232
110;-240643.87963645544
111;-198159.3329217009
112;-161995.50219138246
113;-131369.73300207689
114;-105579.64794465067
115;-83996.509498273139
116;-66058.987845667987
117;-51267.32138957797
118;-39177.856943322367
119;-29397.955934130736
120;-21581.252450274191
121;-15423.248574587942
122;-10657.232170741681
123;-7050.5021168183121
124;-4400.8859059159004
125;-2533.534142856146
126;-1297.9790147753374
127;-565.43806649709086
128;-226.35196171301277
129;-188.14093464966709
130;-373.16608001148131
131;-716.88177881242268
132;-1166.1661863608406
133;-1677.8173357222436
134;-2217.2027214336581
135;-2757.0501806274401
136;-3276.369726327317
137;-3759.4954047481942
138;-4195.2367427029185
139;-4576.1310351539487
140;-4897.7870917977489
141;-5158.3118171905462
142;-5357.8123100147004
143;-5497.9655238901851
144;-5581.6490951452843
145;-5612.6265989037302
146;-5595.2815905017196
147;-5534.3948225575032
148;-5434.9597114575954
149;-5302.0314084452621
150;-5140.6053814102952
151;-4955.5215257340269
152;-4751.3905224938226
153;-4532.5392592639537
154;-4302.9723422945226
155;-4066.3474897973379
156;-3825.9621949125903
157;-3584.7499921722288
158;-3345.2844208244896
159;-3109.7889865858347
160;-2880.152068282413
161;-2657.9454385686872
162;-2444.4452588262088
163;-2240.6549649179642
164;-2047.3291608238278
165;-1864.9978036822517
166;-1693.9904197670317
167;-1534.4597743709965
168;-1386.4047137799248
169;-1249.6919526564084
170;-1124.0765108064481
171;-1009.220837195528
172;-904.71241467657637
173;-810.0798312972214
174;-724.80730591847328
175;-648.34769735144209
176;-580.13397637168055
177;-519.58931186683651
178;-466.13577303044485
179;-419.20174655355527
180;-378.22815672758952
181;-342.67358102838318
182;-312.01835613587411
183;-285.76776981243052
184;-263.45443293775179
185;-244.63992357001052
186;-228.91579143030276
187;-215.90400692153821
188;-205.25693389646472
189;-196.65690006059094
190;-189.81543328865769
191;-184.47222554902578
192;-180.39388507677995
193;-177.37252093161896
194;-175.22421077922195
195;-173.78739034066916
196;-172.92119942212321
197;-172.50381455337038
198;-172.43079409366351
199;-172.61345636993838
200;-172.97730913201076
201;-173.46054412663489
202;-174.01260730022318
203;-174.59285305200797
204;-175.1692878829042
205;-175.7174068864631
206;-176.21912416018995
207;-176.66179756378688
208;-177.03734600671191
209;-177.34145647067658
210;-177.57287768359038
211;-177.73279595050258
212;-177.82428835292581
213;-177.85184842361673
