Iteration;ELBO
0;-71940905581.290176
1;-1.0425604359744762e+45
2;-5020643517905.3115
3;-4143406019.5972991
4;-8235686926.5288696
5;-10711154209.58346
6;-12346254514.485746
7;-13481168865.551441
8;-14290095605.946058
9;-14872387836.382069
10;-15289406466.394711
11;-15581448669.995316
12;-15776307725.714325
13;-15893931994.046391
14;-15949117618.478102
15;-15953145932.90481
16;-15914820276.906738
17;-15841147181.550119
18;-15737797968.993752
19;-15609429798.746174
20;-15459915124.802435
21;-15292508240.061184
22;-15109969701.819824
23;-14914659551.430157
24;-14708609727.006697
25;-14493579564.007851
26;-14271100242.349384
27;-14042510344.965357
28;-13808983849.373146
29;-13571553660.816723
30;-13331131031.005264
31;-13088521010.418859
32;-12844436076.937883
33;-12599507665.020237
34;-12354295326.699993
35;-12109295220.492365
36;-11864947227.642532
37;-11621641322.554005
38;-11379722546.199654
39;-11139495936.864574
40;-10901230682.700855
41;-10665163792.436087
42;-10431503350.554466
43;-10200431414.337351
44;-9972106598.5836239
45;-9746666540.721117
46;-9524229659.0630283
47;-9304897181.6869583
48;-9088754824.2952919
49;-8875874303.4557209
50;-8666314702.3506699
51;-8460123705.6330423
52;-8257338716.2045984
53;-8057987866.9094486
54;-7862090826.6298656
55;-7669659861.1825552
56;-7480700467.0725384
57;-7295212055.526
58;-7113188573.2240686
59;-6934619065.957922
60;-6759488190.3305445
61;-6587776592.6394892
62;-6419461509.8293858
63;-6254517059.2436113
64;-6092914586.5825062
65;-5934622981.8173504
66;-5779608894.1344719
67;-5627837141.9597149
68;-5479270871.0243378
69;-5333871704.1595354
70;-5191600070.1977549
71;-5052415310.0391712
72;-4916275778.4994221
73;-4783139110.0179138
74;-4652962286.7577181
75;-4525701705.3652811
76;-4401313393.1754274
77;-4279753000.3445983
78;-4160975989.0717335
79;-4044937615.2184687
80;-3931593094.4749207
81;-3820897576.0630283
82;-3712806289.1427107
83;-3607274510.7091851
84;-3504257695.0116153
85;-3403711437.3383865
86;-3305591588.7864041
87;-3209854217.2950077
88;-3116455709.7399206
89;-3025352731.2876272
90;-2936502285.9689717
91;-2849861768.3316188
